Season,DayNum,TeamID,OppTeamID,Line,OU,is_neutral,tm_hca
2009,139.0,1329,1338,9.0,150,1,0
2009,139.0,1113,1393,2.5,138,1,0
2009,139.0,1458,1462,2.5,121,1,0
2009,143.0,1345,1163,6.5,133,1,0
2009,143.0,1281,1272,4.0,141.5,1,0
2009,143.0,1462,1338,6.5,137.5,1,0
2009,143.0,1437,1181,2.5,147.5,1,0
2009,144.0,1112,1257,9.5,139,1,0
2009,144.0,1242,1277,0.0,138,1,0
2009,144.0,1211,1314,7.5,163,1,0
2009,144.0,1393,1328,1.0,150.5,1,0
2009,145.0,1281,1163,6.0,151,1,0
2009,145.0,1437,1338,2.0,141,1,0
2009,146.0,1277,1257,6.5,136.5,1,0
2009,146.0,1328,1314,7.0,163,1,0
2009,152.0,1277,1163,4.5,134,1,0
2009,152.0,1437,1314,7.0,161.5,1,0
2009,154.0,1277,1314,7.0,153,1,0
2010,134.0,1115,1457,3.5,115.5,1,0
2010,136.0,1358,1124,10.0,149,1,0
2010,136.0,1431,1139,2.5,129.5,1,0
2010,136.0,1196,1140,5.0,147,1,0
2010,136.0,1250,1242,25.0,146.5,1,0
2010,136.0,1317,1243,15.0,148.5,1,0
2010,136.0,1190,1246,18.5,135,1,0
2010,136.0,1293,1435,2.5,141,1,0
2010,136.0,1285,1307,8.5,134.5,1,0
2010,136.0,1320,1424,0.0,115.5,1,0
2010,136.0,1325,1207,14.0,140.5,1,0
2010,136.0,1330,1323,2.0,121.5,1,0
2010,136.0,1388,1350,1.5,135.5,1,0
2010,136.0,1361,1397,3.0,129.5,1,0
2010,136.0,1352,1437,16.5,146,1,0
2010,136.0,1448,1400,5.5,148.5,1,0
2010,136.0,1449,1266,1.0,141,1,0
2010,137.0,1257,1143,1.0,149,1,0
2010,137.0,1165,1396,3.0,122.5,1,0
2010,137.0,1115,1181,24.5,125,1,0
2010,137.0,1210,1329,2.0,141,1,0
2010,137.0,1199,1211,-1.0,132.5,1,0
2010,137.0,1222,1268,9.5,158,1,0
2010,137.0,1308,1277,13.0,151,1,0
2010,137.0,1281,1155,2.0,143.5,1,0
2010,137.0,1364,1326,17.5,131,1,0
2010,137.0,1324,1338,9.5,135.5,1,0
2010,137.0,1373,1345,4.5,131.5,1,0
2010,137.0,1436,1393,15.5,145,1,0
2010,137.0,1429,1401,3.0,126,1,0
2010,137.0,1288,1452,16.5,138,1,0
2010,137.0,1288,1452,16.5,138,1,0
2010,137.0,1459,1458,10.5,114,1,0
2010,137.0,1278,1462,1.5,143.5,1,0
2010,138.0,1330,1124,4.5,128.5,1,0
2010,138.0,1293,1139,4.5,131.5,1,0
2010,138.0,1140,1243,4.5,157.5,1,0
2010,138.0,1448,1246,9.5,147,1,0
2010,138.0,1320,1242,11.0,127.5,1,0
