Rank,Team,Conf,Record,Conf Record,Rk Points
50,Kentucky,SEC,15-Sep,9-Aug,10.98
51,Mississippi,SEC,15 - 10,8-Oct,10.96
52,Michigan State,Big10,15 - 11,11-Sep,10.47
53,Duke,ACC,11-Nov,9-Sep,10.23
54,Colorado State,MWC,17 - 5,14 - 4,10.14
55,Saint Louis,A10,14 - 6,4-Jun,10.13
56,Boise State,MWC,18 - 7,14 - 6,10.08
57,Louisiana Tech,CUSA,20 - 6,4-Dec,10.03
58,Penn State,Big10,13-Oct,12-Jul,10.01
59,Auburn,SEC,13 - 14,11-Jul,9.96
60,Davidson,A10,13 - 8,4-Jul,9.8
61,Saint Marys,WCC,14 - 8,6-Apr,9.69
62,Saint Johns,BE,16 - 10,9-Oct,9.52
63,Xavier,BE,13 - 7,7-Jun,9.47
64,Seton Hall,BE,13 - 12,9-Oct,9.36
65,Drake,MVC,25 - 4,15 - 3,9.17
66,Indiana,Big10,14-Dec,12-Jul,9.16
67,Yale,IVY,0 - 0,0 - 0,8.84
68,Toledo,MAC,20 - 7,15 - 4,8.8
69,Winthrop,BSth,23 - 1,17 - 1,8.71
70,Mississippi State,SEC,14 - 13,10-Aug,8.7
71,Providence,BE,13 - 12,10-Sep,8.43
72,NC State,ACC,13 - 9,8-Sep,8.37
73,Wright State,HOR,18 - 6,16 - 4,8.36
74,Buffalo,MAC,14 - 7,5-Dec,8.35
75,Dayton,A10,14 - 9,7-Sep,8.26
76,UC Santa Barbara,BW,18 - 4,15 - 3,7.83
77,UNC Greensboro,SC,20 - 8,13 - 5,7.72
78,Marquette,BE,13 - 13,11-Aug,7.68
79,Richmond,A10,13 - 8,5-Jun,7.6
80,Utah,PAC12,12-Nov,11-Aug,7.53
81,Alabama Birmingham,CUSA,21 - 6,13 - 5,7.22
82,Western Kentucky,CUSA,18 - 6,3-Nov,7.09
83,Belmont,OVC,26 - 4,18 - 2,7.08
84,Marshall,CUSA,15 - 6,5-Sep,7.06
85,Stanford,PAC12,14 - 12,10-Oct,7.02
86,Furman,SC,16 - 9,5-Oct,6.95
87,Nevada,MWC,15 - 9,7-Oct,6.91
88,North Texas,CUSA,13 - 9,5-Sep,6.85
89,Notre Dame,ACC,14-Oct,11-Jul,6.82
90,Georgia,SEC,14 - 11,11-Jul,6.53
91,Georgetown,BE,12-Sep,9-Jul,6.44
92,Minnesota,Big10,13 - 14,14-Jun,6.41
93,Oregon State,PAC12,14 - 12,10-Oct,6.15
94,Harvard,IVY,0 - 0,0 - 0,5.8
95,Missouri State,MVC,17 - 7,6-Dec,5.62
96,Central Florida,Amer,11-Oct,10-Aug,5.48
97,Navy,PAT,15 - 3,1-Dec,5.29
98,Liberty,ASUN,23 - 5,2-Nov,5.25
99,Pittsburgh,ACC,11-Oct,10-Jun,5.25
100,Northwestern,Big10,14-Sep,13-Jun,5.17
101,Abilene Christian,SLND,21 - 4,13 - 2,5.07
102,Cincinnati,Amer,10-Oct,6-Aug,5.05
103,Loyola Marymount,WCC,13 - 9,5-Jul,5.04
104,Wofford,SC,15 - 9,5-Dec,4.72
105,Washington State,PAC12,14 - 12,12-Jul,4.64
106,Kent State,MAC,15 - 7,6-Dec,4.41
107,UC Irvine,BW,15 - 8,4-Nov,4.38
108,Georgia State,SUN,16 - 5,4-Aug,4.34
109,Vanderbilt,SEC,15-Aug,13-Mar,4.25
110,Morehead State,OVC,23 - 7,17 - 3,4.2
111,East Tennessee State,SC,13 - 12,7-Aug,4.17
112,Arizona State,PAC12,13-Oct,10-Jul,3.94
113,Ohio,MAC,13 - 7,5-Sep,3.92
114,Butler,BE,14-Sep,12-Aug,3.91
115,Pepperdine,WCC,11-Dec,6-Jul,3.85
116,Vermont,AE,5-Oct,4-Oct,3.83
117,Mercer,SC,18 - 10,9-Aug,3.81
118,Akron,MAC,14 - 7,6-Dec,3.64
119,Weber State,BSky,17 - 5,3-Dec,3.61
120,Army,PAT,8-Dec,7-Jul,3.32
121,Tulsa,Amer,11-Nov,9-Jul,3.31
122,Southern Utah,BSky,19 - 3,2-Dec,3.17
123,Eastern Washington,BSky,13 - 7,3-Dec,3.15
124,UC Riverside,BW,13 - 7,4-Aug,3.14
125,Indiana State,MVC,15 - 10,7-Nov,3.12
126,Rhode Island,A10,15-Oct,10-Jul,3.11
127,Massachusetts,A10,7-Aug,4-Jun,3.08
128,George Mason,A10,13 - 9,6-Aug,3.07
129,Texas Christian,BIG12,13-Dec,11-May,3.05
130,Bryant,NEC,15 - 5,4-Oct,2.99
131,San Francisco,WCC,14-Nov,9-Apr,2.92
132,Siena,MAAC,4-Dec,4-Dec,2.88
133,Old Dominion,CUSA,15 - 7,5-Nov,2.81
134,Duquesne,A10,9-Sep,7-Jul,2.72
135,South Dakota State,SUM,16 - 6,3-Sep,2.55
136,South Carolina,SEC,14-Jun,12-Apr,2.4
137,Pennsylvania,IVY,0 - 0,0 - 0,2.16
138,Grand Canyon,WAC,15 - 6,3-Sep,2.16
139,Texas AM,SEC,9-Aug,8-Feb,2.14
140,Pacific,WCC,9-Sep,7-Jun,1.99
141,Chattanooga,SC,18 - 8,7-Sep,1.96
142,Princeton,IVY,0 - 0,0 - 0,1.74
143,Bowling Green,MAC,14 - 10,8-Oct,1.72
144,Nebraska,Big10,19-Jul,16-Mar,1.62
145,Northeastern,CAA,8-Oct,2-Aug,1.46
146,UMBC,AE,14 - 6,4-Oct,1.3
147,James Madison,CAA,13 - 7,2-Aug,1.25
148,Iona,MAAC,5-Aug,3-Jun,1.23
149,Coastal Carolina,SUN,16 - 7,5-Sep,1.17
150,Stephen F Austin,SLND,16 - 5,13 - 3,1.1
151,Temple,Amer,10-May,10-Apr,1.02
152,Texas El Paso,CUSA,11-Dec,8-Aug,0.9
153,Monmouth,MAAC,7-Dec,6-Dec,0.81
154,Hofstra,CAA,13 - 9,6-Aug,0.69
155,Jacksonville State,OVC,18 - 9,13 - 6,0.66
156,Texas State,SUN,18 - 7,3-Dec,0.63
157,Texas San Antonio,CUSA,14 - 10,7-Sep,0.57
158,Drexel,CAA,7-Oct,5-Apr,0.44
159,Eastern Kentucky,OVC,22 - 7,15 - 5,0.37
160,Santa Clara,WCC,8-Dec,5-Apr,0.27
161,Cleveland State,HOR,17 - 7,16 - 4,0.22
162,Virginia Military Institute,SC,13 - 12,7-Jul,0.2
163,Sam Houston State,SLND,19 - 8,13 - 3,0.01
164,Wagner,NEC,13 - 7,13 - 5,-0.04
165,Cal State Bakersfield,BW,15 - 10,7-Sep,-0.23
166,Miami,ACC,16-Aug,15-Apr,-0.37
167,Boston,PAT,11-Jul,10-Jun,-0.48
168,Kansas State,BIG12,19-Aug,14-Apr,-0.54
169,Canisius,MAAC,5-Jul,5-Jul,-0.75
170,Tulane,Amer,12-Sep,12-Apr,-0.79
171,Wyoming,MWC,13 - 10,9-Jul,-0.83
172,Detroit,HOR,10-Dec,6-Oct,-0.84
173,Hartford,AE,14 - 8,6-Aug,-0.87
174,Miami OH,MAC,10-Dec,8-Sep,-1.03
175,Fresno State,MWC,11-Nov,11-Sep,-1.22
176,DePaul,BE,13-Apr,13-Feb,-1.26
177,Nevada Las Vegas,MWC,14-Nov,10-Aug,-1.27
178,Ball State,MAC,12-Oct,9-Aug,-1.28
179,UL Lafayette,SUN,17 - 9,7-Oct,-1.31
180,Saint Peters,MAAC,13 - 10,8-Oct,-1.43
181,Bellarmine,ASUN,13 - 7,3-Oct,-1.44
182,Northern Kentucky,HOR,14 - 10,7-Nov,-1.54
183,Nicholls State,SLND,17 - 6,14 - 2,-1.65
184,New Mexico State,WAC,7-Oct,6-Jul,-1.66
185,Murray State,OVC,13 - 13,10-Oct,-1.73
186,Northern Iowa,MVC,15-Oct,11-Jul,-1.73
187,California,PAC12,19-Aug,17-Mar,-1.76
188,Florida Atlantic,CUSA,9-Dec,5-Jul,-1.77
189,Bradley,MVC,16-Dec,12-Jun,-1.82
190,South Alabama,SUN,17 - 11,7-Oct,-1.82
191,North Dakota State,SUM,14 - 11,5-Nov,-1.86
192,East Carolina,Amer,10-Aug,10-Feb,-1.86
193,Brown,IVY,0 - 0,0 - 0,-1.97
194,Washington,PAC12,20-May,16-Apr,-1.99
195,Mt St Marys,NEC,10-Nov,7-Sep,-2.14
196,Oral Roberts,SUM,14 - 10,5-Oct,-2.31
197,Boston College,ACC,15-Apr,11-Feb,-2.36
198,South Florida,Amer,12-Aug,10-Apr,-2.38
199,Appalachian State,SUN,16 - 11,8-Jul,-2.39
200,Loyola MD,PAT,10-May,10-Apr,-2.4
201,Prairie View,SWAC,14 - 4,13 - 0,-2.68
202,South Dakota,SUM,14 - 10,4-Nov,-2.75
203,Iowa State,BIG12,21-Feb,0 - 18,-2.95
204,Wake Forest,ACC,15-Jun,15-Mar,-2.95
205,Holy Cross,PAT,11-May,11-May,-3.12
206,Utah Valley,WAC,10-Nov,4-Sep,-3.2
207,Marist,MAAC,8-Dec,8-Oct,-3.21
208,Campbell,BSth,17 - 10,6-Nov,-3.31
209,UMass Lowell,AE,11-Nov,8-Jul,-3.39
210,Montana,BSky,13 - 12,9-Jul,-3.4
211,Rice,CUSA,13 - 12,10-Jun,-3.44
212,Southern Illinois,MVC,14-Dec,13-May,-3.6
213,Gardner Webb,BSth,15-Nov,10-Oct,-3.65
214,Saint Josephs,A10,15-May,9-Mar,-3.71
215,Elon,CAA,8-Sep,7-Apr,-3.76
216,Hawaii,BW,9-Nov,9-Sep,-3.79
217,American,PAT,6-Apr,5-Apr,-3.83
218,College of Charleston,CAA,10-Sep,4-Jun,-3.93
219,Lafayette,PAT,6-Sep,5-Sep,-3.93
220,Albany,AE,9-Jul,6-Jun,-3.96
221,The Citadel,SC,13 - 12,11-May,-3.98
222,La Salle,A10,16-Sep,11-Jun,-4.05
223,Niagara,MAAC,10-Aug,9-Jul,-4.13
224,Dartmouth,IVY,0 - 0,0 - 0,-4.24
225,Bucknell,PAT,6-May,6-Apr,-4.27
226,Norfolk State,MEAC,14 - 7,4-Aug,-4.32
227,Evansville,MVC,16-Sep,11-Jul,-4.37
228,Valparaiso,MVC,18-Oct,11-Jul,-4.46
229,Merrimack,NEC,9-Sep,9-Sep,-4.47
230,LIU Brooklyn,NEC,9-Sep,9-Sep,-4.48
231,Delaware,CAA,8-Jul,4-May,-4.51
232,Stony Brook,AE,14-Sep,9-Jul,-4.6
233,Radford,BSth,15 - 12,6-Dec,-4.66
234,Milwaukee,HOR,11-Oct,10-Jul,-4.9
235,Austin Peay,OVC,14 - 13,10-Oct,-4.91
236,Texas Southern,SWAC,13 - 8,3-Oct,-4.97
237,Cal Baptist,WAC,13 - 9,6-Jun,-5.02
238,Oakland,HOR,17-Nov,10-Oct,-5.02
239,Texas Arlington,SUN,13 - 13,8-Sep,-5.35
240,Quinnipiac,MAAC,12-Sep,10-Jul,-5.4
241,Morgan State,MEAC,7-Dec,5-Jul,-5.6
242,Jackson State,SWAC,5-Nov,Nov-00,-5.61
243,UC Davis,BW,7-Sep,5-Jul,-5.64
244,UNC Asheville,BSth,10-Oct,5-Sep,-5.76
245,Arkansas State,SUN,13-Nov,8-Jul,-5.79
246,New Hampshire,AE,9-Oct,6-Sep,-5.87
247,Arkansas Little Rock,SUN,15-Nov,11-Jul,-5.99
248,Seattle,WAC,10-Nov,5-Apr,-5.99
249,San Diego,WCC,11-Mar,7-Feb,-6.03
250,Georgia Southern,SUN,13 - 13,9-Jul,-6.04
251,Western Carolina,SC,16-Nov,13-Apr,-6.07
252,George Washington,A10,12-May,5-Mar,-6.09
253,Saint Francis Brooklyn,NEC,10-Sep,9-Sep,-6.21
254,Charlotte,CUSA,15-Sep,11-May,-6.29
255,Youngstown State,HOR,14 - 12,11-Sep,-6.31
256,Lipscomb,ASUN,15 - 12,6-Sep,-6.31
257,Longwood,BSth,16-Dec,10-Oct,-6.34
258,Fairleigh Dickinson,NEC,15-Sep,10-Aug,-6.38
259,Illinois State,MVC,18-Jul,14-Apr,-6.5
260,Sacred Heart,NEC,9-Sep,7-Sep,-6.96
261,Portland State,BSky,12-Sep,8-Jun,-6.97
262,Cal State Fullerton,BW,9-Jun,7-May,-7.03
263,Montana State,BSky,9-Nov,6-Aug,-7.18
264,Northern Colorado,BSky,10-Oct,8-Jun,-7.5
265,Cornell,IVY,0 - 0,0 - 0,-7.53
266,Green Bay,HOR,17-Aug,12-Aug,-7.57
267,UC San Diego,BW,10-Jul,4-Jan,-7.62
268,UMKC,SUM,13-Oct,7-Jul,-7.68
269,Southern Miss,CUSA,16-Aug,13-Apr,-7.78
270,Stetson,ASUN,14-Nov,9-Jul,-7.8
271,IUPUI,HOR,10-Aug,9-Jul,-7.81
272,Tarleton State,WAC,10-Oct,7-May,-7.9
273,Idaho State,BSky,10-Nov,6-Aug,-8.2
274,Cal State Northridge,BW,12-Sep,9-May,-8.23
275,Manhattan,MAAC,12-Jul,12-Jun,-8.23
276,Sacramento State,BSky,11-Aug,9-May,-8.34
277,UNC Wilmington,CAA,10-Jul,6-Jan,-8.34
278,Saint Francis Penn,NEC,16-Jun,13-May,-8.41
279,William and Mary,CAA,10-Jul,6-Apr,-8.49
280,Fairfield,MAAC,16-Jul,11-Jul,-8.61
281,Troy,SUN,17-Nov,12-Apr,-8.69
282,Samford,SC,13-Jun,9-Feb,-8.8
283,SE Missouri State,OVC,16-Nov,11-Sep,-8.84
284,North Alabama,ASUN,13 - 11,8-Jul,-8.87
285,Florida Gulf Coast,ASUN,8-Oct,5-Apr,-9.06
286,Rider,MAAC,16-May,13-May,-9.19
287,Coppin State,MEAC,12-Sep,4-Aug,-9.32
288,NJ Tech,AE,12-Jul,10-Jun,-9.33
289,IPFW,HOR,15-Aug,14-Jun,-9.41
290,New Orleans,SLND,14-Sep,7-Aug,-9.74
291,High Point,BSth,15-Sep,11-Jun,-9.78
292,UL Monroe,SUN,19-Jul,13-May,-9.78
293,Bethune Cookman,MEAC,0 - 0,0 - 0,-9.81
294,North Carolina AT,MEAC,10-Nov,1-Jul,-9.92
295,Towson,CAA,14-Apr,9-Mar,-10.25
296,Southern,SWAC,10-Aug,6-Aug,-10.34
297,Illinois Chicago,HOR,13-Sep,10-Jun,-10.44
298,Long Beach State,BW,11-May,8-Apr,-10.57
299,North Florida,ASUN,15-Aug,6-Jun,-10.64
300,Lehigh,PAT,11-Apr,10-Apr,-10.76
301,Binghamton,AE,14-Apr,10-Apr,-10.81
302,Columbia,IVY,0 - 0,0 - 0,-11.14
303,Middle Tennessee,CUSA,17-May,13-Mar,-11.24
304,Jacksonville,ASUN,13-Nov,9-May,-11.25
305,Western Michigan,MAC,16-May,12-Apr,-11.3
306,New Mexico,MWC,15-Jun,15-Feb,-11.36
307,Central Michigan,MAC,16-Jul,13-Mar,-11.42
308,Grambling State,SWAC,11-Nov,6-Sep,-11.43
309,Florida AM,MEAC,11-Aug,5-Jul,-11.5
310,Lamar,SLND,17-Aug,10-Jul,-11.66
311,North Dakota,SUM,17-Sep,8-Aug,-11.68
312,Air Force,MWC,19-May,17-Mar,-11.88
313,Northwestern State,SLND,17-Oct,7-Sep,-11.88
314,Texas Pan American,WAC,9-Aug,5-Feb,-11.89
315,Hampton,BSth,14-Nov,9-Sep,-11.98
316,Florida International,CUSA,17-Sep,15-Feb,-12.11
317,Eastern Illinois,OVC,18-Sep,14-Jun,-12.11
318,Eastern Michigan,MAC,12-Jun,11-Mar,-12.16
319,Robert Morris,HOR,15-Apr,12-Mar,-12.36
320,Tennessee Tech,OVC,22-May,15-May,-12.56
321,Fordham,A10,12-Feb,11-Feb,-12.7
322,South Carolina Upstate,BSth,18-May,11-May,-12.98
323,SIU Edwardsville,OVC,17-Sep,12-Jul,-13.07
324,Central Connecticut State,NEC,16-May,13-May,-13.15
325,Presbyterian,BSth,15-Jul,12-May,-13.44
326,Tennessee State,OVC,19-Apr,17-Mar,-13.79
327,Northern Arizona,BSky,15-May,10-Apr,-13.82
328,Western Illinois,SUM,15-Jul,9-May,-13.92
329,San Jose State,MWC,15-May,13-Mar,-13.96
330,Portland,WCC,15-Jun,0 - 11,-14.06
331,Central Arkansas,SLND,19-May,12-Apr,-14.47
332,Omaha,SUM,20-May,11-Mar,-14.75
333,Alcorn State,SWAC,12-Jun,7-Jun,-14.77
334,Dixie State,WAC,13-Aug,10-Apr,-14.82
335,Maine,AE,7-Feb,6-Feb,-14.85
336,North Carolina Central,MEAC,8-May,5-Mar,-15.06
337,Howard,MEAC,4-Jan,0 - 0,-15.46
338,Southeast Louisiana,SLND,17-Jul,11-May,-15.5
339,Northern Illinois,MAC,16-Mar,12-Feb,-15.53
340,Tennessee Martin,OVC,16-Aug,14-Jun,-15.92
341,Charleston Southern,BSth,18-Mar,15-Feb,-16.14
342,Kennesaw St,ASUN,19-May,13-Feb,-16.25
343,Incarnate Word,SLND,13-Aug,9-May,-16.58
344,Cal Poly,BW,19-Mar,15-Jan,-16.94
345,Mcneese State,SLND,13-Oct,11-Apr,-17.14
346,Houston Baptist,SLND,18-May,11-Apr,-17.2
347,Texas AM CC,SLND,19-May,13-Feb,-17.68
348,Alabama AM,SWAC,9-Jun,9-Apr,-17.95
349,Arkansas Pine Bluff,SWAC,20-Apr,12-Mar,-19.8
350,Denver,SUM,19-Feb,13-Jan,-20.52
351,Idaho,BSky,20-Jan,17-Jan,-20.73
352,Alabama State,SWAC,14-Apr,14-Apr,-21.6
353,Maryland Eastern Shore,MEAC,0 - 0,0 - 0,-21.89
354,Delaware State,MEAC,16-Mar,11-Jan,-22.06
355,South Carolina State,MEAC,17-Jan,7-Jan,-22.73
356,Chicago State,WAC,0 - 9,0 - 0,-27.29
357,Mississippi Valley State,SWAC,21-Feb,13-Feb,-30.3
