AdjEM,AdjOE,AdjDE,AdjTempo,Season,TeamID
-22.5442,91.2834,113.82799999999999,73.3695,2004,1144
-23.7186,87.7447,111.463,67.5239,2005,1144
-12.1439,101.00200000000001,113.146,74.6534,2006,1144
-10.7301,99.3186,110.04899999999999,72.4565,2007,1144
-12.8752,95.8837,108.759,67.8212,2008,1144
-6.81464,95.5141,102.329,68.1713,2009,1144
0.5865060000000001,100.045,99.4588,63.8184,2010,1144
-7.95245,96.9465,104.899,64.4485,2011,1144
-6.134119999999999,103.337,109.471,66.3274,2012,1144
-13.3061,97.5349,110.84100000000001,64.065,2013,1144
-18.0477,97.9466,115.994,62.2272,2014,1144
-12.2762,96.958,109.234,61.0193,2015,1144
-12.3749,100.118,112.493,68.0088,2016,1144
-11.3574,99.2588,110.616,65.4274,2017,1144
-5.6578800000000005,104.711,110.369,67.9112,2018,1144
-1.8896,108.015,109.905,65.3224,2019,1144
-17.0705,96.3784,113.449,66.8469,2002,1219
-18.0336,95.5848,113.618,68.3012,2003,1219
-9.3362,97.3231,106.65899999999999,69.6035,2004,1219
-6.53274,97.1992,103.73200000000001,72.4733,2005,1219
-5.40081,100.382,105.78200000000001,69.9341,2006,1219
-2.1407700000000003,100.868,103.008,65.9114,2007,1219
-2.71002,103.055,105.765,61.2621,2008,1219
-14.503,90.5988,105.102,62.9203,2009,1219
-11.9819,96.9961,108.978,67.0212,2010,1219
-14.3237,93.8158,108.14,67.2437,2011,1219
-6.26047,105.24600000000001,111.507,62.951,2012,1219
-4.49125,99.9281,104.419,63.4635,2013,1219
-7.8039,104.46700000000001,112.271,62.667,2014,1219
1.41587,108.085,106.669,61.6757,2015,1219
2.53686,110.522,107.985,66.1682,2016,1219
-9.159989999999999,98.9445,108.105,65.5832,2017,1219
-6.657589999999999,100.35799999999999,107.015,65.8417,2018,1219
-5.52055,99.2527,104.773,63.6087,2019,1219
-17.5558,88.7921,106.348,64.7753,2002,1165
-14.9724,92.7032,107.676,64.9623,2003,1165
-6.3678300000000005,99.7318,106.1,68.61,2004,1165
-6.7937,101.757,108.551,62.3935,2005,1165
-6.82187,98.6329,105.455,61.6195,2006,1165
-2.6880599999999997,104.352,107.04,62.6279,2007,1165
5.04434,110.65100000000001,105.60700000000001,67.2439,2008,1165
5.49712,108.10799999999999,102.611,65.0003,2009,1165
13.552,115.443,101.891,63.4422,2010,1165
-2.31023,104.44,106.751,65.4961,2011,1165
-3.3704400000000003,98.0108,101.381,66.6121,2012,1165
-8.6861,99.713,108.399,65.4282,2013,1165
-20.7266,99.8271,120.554,63.8142,2014,1165
-3.03684,96.2835,99.3203,63.9697,2015,1165
-10.5648,97.8607,108.425,72.6557,2016,1165
-8.673580000000001,99.6715,108.345,69.5643,2017,1165
-8.97831,104.811,113.789,69.1552,2018,1165
