Season,Date,Team1,Team2,Home_Team,Favorite,Line,Team1_Score,Team2_Score,OU,is_neutral,MoV,TeamID1,TeamID2
2008,1110,UAB,GeorgiaState,GeorgiaState,UAB,-11.0,86.0,63.0,128.5,0,23.0,1412,1209
2008,1110,KentState,DetroitU,DetroitU,KentState,-4.0,60.0,61.0,126,0,-1.0,1245,1178
2008,1110,Bradley,IllinoisChicago,IllinoisChicago,Bradley,-6.0,75.0,84.0,146.5,0,-9.0,1133,1228
2008,1110,LouisianaTech,MississippiSt,MississippiSt,MississippiSt,22.5,45.0,75.0,143,0,-30.0,1256,1280
2008,1110,Drake,SaintMarysCA,SaintMarysCA,SaintMarysCA,11.5,66.0,72.0,143,0,-6.0,1179,1388
2008,1110,Belmont,BowlingGreen,None,Belmont,-6.0,67.0,78.0,139,1,-11.0,1125,1132
2008,1110,WesternCarolina,Cincinnati,Cincinnati,Cincinnati,8.5,64.0,66.0,135,0,-2.0,1441,1153
2008,1110,NoIllinois,Massachusetts,None,Massachusetts,14.0,87.0,102.0,149,1,-15.0,1296,1269
2008,1110,CalPolySLO,NorthernIowa,NorthernIowa,NorthernIowa,14.0,55.0,62.0,137,0,-7.0,1142,1320
2008,1110,Dartmouth,VaMilitary,None,VaMilitary,5.0,98.0,87.0,168,1,11.0,1171,1440
2008,1110,NorthernColorado,AirForce,AirForce,AirForce,14.0,62.0,71.0,124.5,0,-9.0,1294,1102
2008,1110,WesternMichigan,Pacific,None,WesternMichigan,-2.5,76.0,90.0,135.5,1,-14.0,1444,1334
2008,1110,Pepperdine,Oregon,Oregon,Oregon,23.5,70.0,100.0,162.5,0,-30.0,1337,1332
2008,1110,Harvard,CalSantaBarb,None,CalSantaBarb,17.0,61.0,79.0,148.5,1,-18.0,1217,1364
2008,1110,NorthwesternSt,Stanford,Stanford,Stanford,21.0,58.0,97.0,155,0,-39.0,1322,1390
2008,1110,Liberty,FresnoState,FresnoState,FresnoState,13.0,62.0,71.0,142.5,0,-9.0,1251,1201
2008,1110,PortlandU,SanDiegoState,None,SanDiegoState,10.5,64.0,78.0,126.5,1,-14.0,1339,1361
2008,1110,CollCharleston,NCWilmington,NCWilmington,NCWilmington,7.5,91.0,98.0,135,0,-7.0,1158,1423
2008,1110,SEMissouriSt,Xavier,Xavier,Xavier,23.5,59.0,90.0,152,0,-31.0,1369,1462
2008,1110,AustinPeay,Vanderbilt,Vanderbilt,Vanderbilt,11.5,67.0,81.0,141,0,-14.0,1122,1435
2008,1110,Rider,MurrayState,MurrayState,MurrayState,7.5,65.0,66.0,138,0,-1.0,1351,1293
2008,1110,UtahState,WeberState,WeberState,UtahState,-2.0,71.0,78.0,140.5,0,-7.0,1429,1451
2008,1111,Brown,Michigan,Michigan,Michigan,14.5,57.0,72.0,122,0,-15.0,1135,1276
2008,1111,Nevada,CentralFlorida,CentralFlorida,CentralFlorida,3.5,60.0,63.0,139,0,-3.0,1305,1416
2008,1111,Northeastern,Illinois,Illinois,Illinois,18.5,55.0,63.0,117,0,-8.0,1318,1228
2008,1111,SaintLouis,Pittsburgh,Pittsburgh,Pittsburgh,13.0,58.0,69.0,126.5,0,-11.0,1387,1338
2008,1111,CalPolySLO,NoIllinois,None,CalPolySLO,-6.5,88.0,78.0,147,1,10.0,1142,1296
2008,1111,Massachusetts,NorthernIowa,NorthernIowa,NorthernIowa,4.0,68.0,75.0,139,0,-7.0,1269,1320
2008,1111,Liberty,PortlandU,None,PortlandU,1.0,62.0,73.0,141,1,-11.0,1251,1339
2008,1111,SanDiegoState,FresnoState,FresnoState,FresnoState,3.0,89.0,72.0,135.5,0,17.0,1361,1201
